,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,can_book_w/out_host_approval,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,days_avaialable_next_365days,house_rules,license #,last review 
26715,15756031,My Sunny Island Room,59313687351,0.0,Ladi,Manhattan,Roosevelt Island,40.76301,-73.94959,United States,US,False,flexible,Private room,2010.0,773.0,155.0,3.0,34.0,5/29/2019,1.6,4.0,2.0,195.0,"- This is mine & my roommate's full time home.  Please be respectful and peaceful.  Also, an elderly dog lives here & as much as I try to keep a very clean place, it is not immaculate or hair-free.  Life happens here.  :)",,2019-05-29
26793,15799110,"Stunning Room, Perfect Location, Premium Bed ❤",30398184994,1.0,Leslie,Manhattan,Midtown,40.74624,-73.98648,United States,US,False,flexible,Private room,2019.0,201.0,40.0,2.0,76.0,6/19/2019,3.73,5.0,4.0,148.0,,,2019-06-19
26840,15825068,"Large, Open, Airy Room, Close to Subway Harlem NYC",93078225718,1.0,Paige,Manhattan,Harlem,40.82096,-73.9531,United States,US,False,flexible,Private room,2007.0,515.0,103.0,2.0,1.0,10/17/2017,0.05,5.0,1.0,0.0,Just ask you to respect everything in apartment.  No parties please. Thank you,,2017-10-17
26866,15839428,Home away from home NYC,75288136718,1.0,Sarah,Manhattan,East Harlem,40.79242,-73.94178,United States,US,True,flexible,Private room,2022.0,110.0,22.0,4.0,23.0,7/3/2019,1.2,5.0,1.0,80.0,"House rules: Guests agree to the following terms and conditions 1.Guest(s) agree to NO PARTIES anywhere on the property. Legal action will be taken for parties that cause damages to the unit, property, reputation, or relationship with building staff or other residents.  2.Smoking of any kind is not permitted in the unit or on the premises.  3.Guests agree to abide by maximum occupancy of unit, and observe quiet hours between 9pm and 9am 4.Guests are responsible for action of ALL GUESTS occupying their unit at all times.  5.Guests agree to return all keys, remotes, and parking passes. Replacement fees may apply for unreturned items 6.Guests understand that onsite building staff (maintenance and concierge) are not affiliated with Jordan or AIRBNB. Please contact me directly for any needed items. 7.Guests understand that no pets are to be in the unit.  8.Guests agree to pay replacement cost for any unreturned items, and $125 per hour fee for unauthorized early checkin or late checkout.  9",,2019-07-03
26930,15874775,Spacious Private Room in Manhattan Apartment,74887433133,0.0,Carina,Manhattan,Washington Heights,40.85051,-73.93579,United States,US,False,flexible,Private room,2022.0,279.0,56.0,4.0,4.0,12/29/2017,0.2,4.0,1.0,0.0,"Guests can come and go as they like, we only ask that in the evening hours after 10pm that you are quiet and respectful of your neighbors as we are an old building.",,2017-12-29
26946,15883612,WALK FROM TIME SQUARE FROM THIS HELLS KITCHEN APT,47957584324,0.0,Brianne,Manhattan,Hell's Kitchen,40.76602,-73.98795,United States,US,False,flexible,Private room,2007.0,123.0,25.0,3.0,77.0,1/2/2019,3.77,4.0,1.0,88.0,"We will be available to greet you, provide tourist or cultural info, restaurant directions and any assistance you need via cell phone. You will have private access to the house.",,2019-01-02
26947,15884164,"Private Master Bedroom- Updated, Clean and Lovely!",37005464656,1.0,Serena,Manhattan,Inwood,40.87312,-73.9179,United States,US,False,flexible,Private room,2019.0,416.0,83.0,1.0,0.0,,,5.0,1.0,317.0,,,
27003,15915093,living on Bleecker street,4092570413,1.0,Natalia,Manhattan,Greenwich Village,40.73025,-73.99996,United States,US,True,flexible,Private room,2011.0,422.0,84.0,31.0,1.0,10/25/2017,0.05,5.0,2.0,0.0,No Smoking No Pets,,2017-10-25
27039,15934976,Spacious Long Term Rental in Elevator Building,7136134515,1.0,Tara,Manhattan,East Village,40.72025,-73.97833,United States,US,True,flexible,Private room,2015.0,541.0,108.0,6.0,5.0,1/14/2018,0.25,5.0,4.0,0.0,#NAME?,,2018-01-14
27042,15936633,Tranquility & Privacy in the Concrete Jungle,52126790442,1.0,Dana  (& Justin),Manhattan,Harlem,40.82794,-73.94163,United States,US,False,flexible,Private room,2012.0,585.0,117.0,4.0,3.0,10/30/2017,0.14,4.0,3.0,0.0,"We only ask that you have a ton of fun, and that you leave our place exactly how you found it when you got there :)",,2017-10-30
27090,15963143,Times Square Room with access to a Terrace,38700457489,0.0,Chemme,Manhattan,Hell's Kitchen,40.75873,-73.99041,United States,US,False,flexible,Private room,2022.0,770.0,154.0,3.0,18.0,5/20/2019,0.89,4.0,4.0,365.0,,,2019-05-20
27103,15970323,Washington Heights Renovated Bedroom,13697871737,0.0,Angie,Manhattan,Washington Heights,40.85083,-73.93623,United States,US,True,flexible,Private room,2012.0,173.0,35.0,1.0,4.0,12/30/2018,0.31,4.0,1.0,0.0,NO Smoking,,2018-12-30
27137,15989101,Discounted for Summer - Close to Everything,51125698858,0.0,Danielle,Manhattan,East Harlem,40.79109,-73.94915,United States,US,False,flexible,Private room,2022.0,772.0,154.0,2.0,83.0,6/21/2019,4.08,5.0,2.0,40.0,don't tear down the place! you will leave your credit card as deposit.,,2019-06-21
27163,16003461,Must Love Dogs and Tribeca NYC,80131301766,0.0,Robert,Manhattan,Tribeca,40.71844,-74.00901,United States,US,False,flexible,Private room,2004.0,582.0,116.0,1.0,0.0,,,5.0,1.0,0.0,"No smoking, no pets, no parties",,
27168,16006222,"Single Cabins (Chelsea, Manhattan, NYC)",47864797774,0.0,Maria,Manhattan,Chelsea,40.7497,-73.99515,United States,US,True,flexible,Private room,2006.0,276.0,55.0,1.0,113.0,6/22/2019,5.5,4.0,5.0,292.0,,,2019-06-22
27185,16015612,Gorgeous Apartment in Literally Perfect Location,25196275452,1.0,Annie,Manhattan,East Village,40.73352,-73.98777,United States,US,False,flexible,Private room,2015.0,712.0,142.0,1.0,39.0,8/7/2018,2.0,5.0,1.0,0.0,,,2018-08-07
27213,16031076,Beautiful apartment direct in Midtown Manhattan,86940815314,1.0,Sandra,Manhattan,Hell's Kitchen,40.76254,-73.98812,United States,US,False,flexible,Private room,2013.0,340.0,68.0,3.0,54.0,6/22/2019,2.67,4.0,3.0,24.0,No Smoking. Cats Allowed With Fee.,,2019-06-22
27349,16106189,Beautiful room in spacious apartment in Manhattan,6708656023,0.0,Conor,Manhattan,East Harlem,40.78704,-73.94209,United States,US,True,flexible,Private room,2018.0,515.0,103.0,1.0,20.0,4/27/2019,1.0,4.0,2.0,0.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties and smoking are not allowed under any circumstances and incur significant fees. Pets may be considered with pre-approval and an additional pet fee.",,2019-04-27
27368,16116682,Sunlit room in Financial District luxury apartment,90299419440,0.0,Costanza,Manhattan,Financial District,40.70812,-74.00447,United States,US,True,flexible,Private room,2014.0,65.0,13.0,11.0,0.0,,,4.0,1.0,0.0,,,
27378,16122205,In Historic Harlem near the Hudson River!,86106765947,0.0,Shareef,Manhattan,Harlem,40.82397,-73.95453,United States,US,False,flexible,Private room,2008.0,743.0,149.0,11.0,124.0,7/2/2019,6.1,4.0,6.0,95.0,No smoking No pets We don't charge a cleaning fee - guests are expected to contribute to light cleaning and maintenance for comfort of guests after them!,,2019-07-02
27461,16168046,Private & Quiet One Bedroom On The Upper East Side,55842767206,1.0,,Manhattan,Upper East Side,40.78312,-73.95344,United States,US,False,flexible,Private room,2020.0,66.0,13.0,2.0,7.0,12/28/2017,0.35,5.0,1.0,0.0,,,2017-12-28
27607,16248682,Cozy room in Hamilton Hights R1,39637926216,0.0,Beverly,Manhattan,Harlem,40.83139,-73.94672,United States,US,False,flexible,Private room,2015.0,602.0,120.0,2.0,68.0,7/6/2019,3.38,5.0,3.0,49.0,,,2019-07-06
27697,16298389,Beautiful private bedroom in spacious UWS Apt,65824574440,0.0,,Manhattan,Upper West Side,40.79957,-73.96902,United States,US,False,flexible,Private room,2021.0,345.0,69.0,2.0,0.0,,,4.0,1.0,0.0,#NAME?,,
27723,16312749,"Nice private bedroom, prime East Village",77112417013,0.0,Steven,Manhattan,East Village,40.72419,-73.98294,United States,US,False,flexible,Private room,2007.0,714.0,143.0,3.0,36.0,7/1/2019,1.83,4.0,3.0,9.0,,,2019-07-01
27766,16336498,Cozy room at Columbia University,87158146906,1.0,T,Manhattan,Morningside Heights,40.80369,-73.96238,United States,US,False,flexible,Private room,2007.0,650.0,130.0,1.0,0.0,,,5.0,1.0,0.0,,,
27847,16381234,Bright + Cozy room in Chinatown FOODIE Paradise!,87945709694,1.0,Darra,Manhattan,Lower East Side,40.71235,-73.99071,United States,US,False,flexible,Private room,2018.0,657.0,131.0,21.0,0.0,,,4.0,1.0,332.0,"respecfull, consideret.and loving",,
27867,16392280,Lovely room in West Harlem,77105102771,0.0,Yoleni,Manhattan,Harlem,40.81855,-73.94447,United States,US,True,flexible,Private room,2022.0,619.0,124.0,1.0,5.0,4/11/2018,0.25,5.0,1.0,0.0,"Check-in is 2:00 pm, and checkout 11:00 am. You may bring bags in before check in time or leave it to pick up later. Let me know to arrange it. After reservation please send me your arrival and departure time for logistics Help yourself coffee or tea anytime NO shoes to the second floor  Keep the volume low before 8am and after 10pm Close the doors gently No shower after  11:30pm No laundry after  before 9am and after 8pm Keep the kitchen in a decent condition after your use Close the shower curtain well, no hair in the tub, no water around the sink on the sink there is a sponge you can use it to dry Turn off the light when you leave the room Trash out from the room  BLUE BOX recycling  Please respect this rules. Full refunded of security despoit in this case",,2018-04-11
28026,16480096,Cozy and affordable room,17985470244,1.0,Rawad,Manhattan,East Harlem,40.80296,-73.9369,United States,US,True,flexible,Private room,2008.0,62.0,12.0,7.0,1.0,1/5/2018,0.05,5.0,1.0,0.0,"No smoking in house. No Pets No parties or hosting events. No recreational drugs. Please clean up after yourself. Please take off shoes and leave them in the shoe cabinet before entering the apartment. Guests may be asked to leave Immediately if partying, hosting events, or bringing pets.",,2018-01-05
28041,16488380,Cozy room in a shared apt,20938356634,1.0,Alex,Manhattan,Upper East Side,40.777,-73.95771,United States,US,True,flexible,Private room,2019.0,541.0,108.0,1.0,0.0,,,4.0,1.0,0.0,"We have ample off-street parking but if you have a car let us know and we will be in touch with you about parking. Please be careful not to drive or walk in the driveway for 233 Savin Hill Avenue. Check in time is 2 PM, check out time is 10 AM.  Guests who arrive early can drop off their luggage after 10 AM. We are unable to accommodate arrivals earlier than 10 AM.  Guests who need to stay after the check out time are welcome to use the common area on the first floor for luggage storage. NO SMOKING in the house or anywhere on the property. No Pets.",,
28064,16501083,Cozy room in Manhattan,69933582687,0.0,Laurence,Manhattan,Lower East Side,40.72147,-73.99054,United States,US,True,flexible,Private room,2012.0,97.0,19.0,1.0,4.0,6/20/2019,0.21,5.0,3.0,0.0,"NO PETS!  NO SMOKING ON PREMISES! NO PARTY! A printed house rule will be provided. Please be respectful to others when all rooms are booked. 10 AM Check-out and Check-in is between 12 PM (noon) - 3 PM.   Late check in after 8 pm is $50, lock out is $50. Respect yourself, Respect others, clean up after yourself.  No Smoking/drinking in apt.  Thank You! Location Rules: The ""Exact Address Location Is Not Disclosed For Security Reasons"" And Is Given Out 24 Hours Prior to Check-in.  If This Is a Problem for You, Please STOP Here And Contact Other Hosts for Your Stay.   This Is a Part Of My House Rules.",,2019-06-20
28109,16525937,SoHo: Light-filled and tasteful,75900737270,1.0,Bridget,Manhattan,SoHo,40.72735,-74.00131,United States,US,False,flexible,Private room,2022.0,645.0,129.0,1.0,3.0,12/28/2017,0.15,5.0,1.0,0.0,"•Parties or Gatherings are not permitted. •Please be courteous to the neighbors and keep noise levels low, especially between the hours of 10pm-10am. •Absolutely no smoking in the apartment. Smoking only on the back porch •Overnight guests are not permitted unless included on the initial reservation. •Please help us conserve energy by turning off lights, small appliances, lamps, etc. when not being used.  •Please store recyclables separately. •Pets are not permitted at any time. •If you need flexibility around the specified check in or check out times, let us know in advance. •Owner is NOT responsible for any accidents, injuries or illness that occurs while on the premises or its facilities.",,2017-12-28
28112,16527594,Tiny (but comfy!) Private room Manhattan,2555333320,0.0,Charles,Manhattan,Washington Heights,40.84344,-73.93922,United States,US,True,flexible,Private room,2008.0,740.0,148.0,1.0,21.0,6/20/2019,1.1,5.0,3.0,291.0,,,2019-06-20
28129,16536983,Private Bedroom in the LES,88864428623,1.0,Gerard,Manhattan,Lower East Side,40.71991,-73.98832,United States,US,False,flexible,Private room,2013.0,243.0,49.0,10.0,0.0,,,4.0,1.0,0.0,,,
28145,16545820,Big bedroom at the heart of Manhattan,51445243352,1.0,Tomislav,Manhattan,Theater District,40.75493,-73.98618,United States,US,True,flexible,Private room,2012.0,732.0,146.0,2.0,100.0,7/1/2019,5.35,4.0,1.0,18.0,"Our check in time is 3pm. If you would like to check in earlier please let us know ahead of time.   We are happy to accomidate if possible, but do understand that we need some time to make sure your room is ready on your arrival.  Clean up after yourself & turn lights off on our roof deck.  It is a common space in the building.    There is No Smoking in the apartment or on the roof deck.  Please no guests without checking with us. We have some nosy neighbors so if they ask where you are staying please let them know with friends or family.  Some of our neighbors are not happy with us using AirBNB.   Thank you for helping us out!",,2019-07-01
28258,16608229,Large Master Bedroom in Midtown West,37148988072,1.0,M,Manhattan,Hell's Kitchen,40.76535,-73.98765,United States,US,False,flexible,Private room,2013.0,177.0,35.0,12.0,2.0,1/1/2019,0.14,4.0,1.0,31.0,,,2019-01-01
28293,16627560,Huge Room in East Harlem on Madison Avenue,17591898706,1.0,Kelvin,Manhattan,East Harlem,40.8009,-73.94333,United States,US,True,flexible,Private room,2016.0,178.0,36.0,3.0,86.0,7/4/2019,4.48,5.0,2.0,50.0,"Please be respectful of my home and treat the space as if it were your own. No guests No Smoking Always turn off lights when leaving space Please clean up after yourself Always lock door when leaving and after arriving Please observe quiet hours between midnight and 7 am. Upon check-out, please leave sheets + towels on the floor of the bedroom and return key. Check in 3pm: flexible Check out 11am: strict",,2019-07-04
28424,16699911,1 Room in a 5-room apartment in Harlem,96206118952,0.0,Jeff,Manhattan,Harlem,40.82887,-73.9487,United States,US,False,flexible,Private room,2019.0,315.0,63.0,2.0,3.0,1/2/2018,0.16,4.0,1.0,0.0,,,2018-01-02
28427,16701568,1br - Room Sublet (From Dec 13) (Upper West Side),93457555733,0.0,Angie,Manhattan,Upper West Side,40.79722,-73.96205,United States,US,False,flexible,Private room,2003.0,354.0,71.0,5.0,1.0,12/3/2017,0.05,5.0,1.0,0.0,,,2017-12-03
28496,16739677,Elegant Room in Jazzy Harlem Neighborhood,81573721558,0.0,Isaac,Manhattan,Harlem,40.82394,-73.94432,United States,US,False,flexible,Private room,2005.0,698.0,140.0,30.0,2.0,9/24/2018,0.1,4.0,1.0,0.0,,,2018-09-24
28579,16785518,"Cozy Manhattan Bedroom, Same Street as Subway!",22281210491,0.0,Leslie,Manhattan,Upper East Side,40.78314,-73.94659,United States,US,False,flexible,Private room,2022.0,90.0,18.0,1.0,45.0,6/27/2019,2.34,5.0,1.0,7.0,,,2019-06-27
28687,16845166,Spacious Apartment in Historic Harlem!,38665444765,1.0,Rahel,Manhattan,Harlem,40.81244,-73.95261,United States,US,False,flexible,Private room,2016.0,701.0,140.0,2.0,8.0,5/20/2019,0.42,4.0,1.0,3.0,"No loud noises or loud music. Please help us save the planet by shutting off all the lights when they are not needed. Make sure the coffee maker, toaster and other appliance are off when you leave every morning.  No pets. Remove your shoes and keep them inside the apartment. ABSOLUTELY NO SMOKING is allowed in the house. It is only allowed in the rear part of the building. No wild parties, this is a quiet building. All dishes should ne washed after used. All garbage should be taken out and put in the trash cans in the back porch. And last and not least, ENJOY YOUR STAY WITH US!!",,2019-05-20
28719,16862840,Spacious Bedroom in apartment in Hamilton Heights,30670555172,0.0,Magda,Manhattan,Harlem,40.82892,-73.95082,United States,US,True,flexible,Private room,2006.0,167.0,33.0,3.0,0.0,,,5.0,1.0,0.0,"Thank you for your interest- we look forward to hosting you!  We are looking for friendly, courteous guests who will be respectful of our home.  No parties.  No smokers please. Please be aware of usual check-in time of 6p (or after) and check-out time of 4p (or earlier).  There might be flexibility on some days so feel free to ask before booking.   The studio is private with its own bulkhead entrance.  Microwave and fridge but no stove. We want to make sure our place is a good fit for you so feel free to read our reviews or contact us if you have questions! Danielle and Peder",,
28844,16931877,Midtown apt perfect for a New Years stay!,62489861709,1.0,Salma,Manhattan,Midtown,40.74788,-73.98376,United States,US,False,flexible,Private room,2018.0,516.0,103.0,2.0,2.0,1/2/2018,0.11,4.0,1.0,0.0,"Stay kinda quiet after 11, don't leave the door open, and you're good to go. Have fun!",,2018-01-02
28900,16962806,Book it Vintage!,81933856357,0.0,Ri.,Manhattan,Upper East Side,40.78068,-73.94963,United States,US,False,flexible,Private room,2012.0,263.0,53.0,2.0,43.0,6/15/2019,2.33,5.0,1.0,8.0,Be respectful of my roommates and my dogs.,,2019-06-15
28919,16973300,Private & Cozy Harlem/Washington Heights Room,69825783767,1.0,Xavier,Manhattan,Harlem,40.83034,-73.94017,United States,US,True,flexible,Private room,2015.0,419.0,84.0,1.0,55.0,1/12/2019,2.91,4.0,3.0,0.0,"We hope you will be nice to the dogs, quiet in your comings and goings and respectful of our Eco, vegetarian ways. Please take off your shoes when you come in and clean up after yourself.",,2019-01-12
28934,16981584,Spaced and beautiful - manhattan - close to subway,38805021196,1.0,Renata,Manhattan,Harlem,40.82258,-73.95368,United States,US,True,flexible,Private room,2012.0,145.0,29.0,4.0,68.0,7/6/2019,3.65,5.0,2.0,102.0,"Thanks for not smoking and leaving your pets at home! Thanks for keeping the house locked. Thanks for not throwing parties. And... all of the usual stuff that is just good common sense like using coasters and place mats and returning the apartment to the way it looked when you arrived. There is no parking in the driveway. At the end of your stay, please strip the beds and put the sheets in the pantry or on the bathroom floor. Towels can be put with the sheets. Trash and recycling pick up is on Tuesdays. If you are staying through a Tuesday, please put your garbage and recycling outside in the appropriate barrels Monday night or by 7:00 am on Tuesdays. THANKS!",,2019-07-06
29042,17041233,Cozy affordable room close to Express station!,91265727350,1.0,Daphne,Manhattan,Harlem,40.80966,-73.95299,United States,US,True,flexible,Private room,2006.0,785.0,,1.0,1.0,12/31/2017,0.05,5.0,2.0,0.0,,,2017-12-31
29086,17065534,Chambre spacieuse,32520164066,1.0,Cindy,Manhattan,Inwood,40.86318,-73.9221,United States,US,False,flexible,Private room,2011.0,602.0,120.0,4.0,0.0,,,4.0,1.0,0.0,"Please keep kitchen clean. Make sure porch door is always locked when not in use. Central AC temperature must stay above 70 degrees When checking out, please leave keys on the desk provided in the room. Do not have to worry about locking the door on the way out.",,
29126,17087626,Shared HARLEM Loft w/ Private Bedroom/Bath Suite,64864375731,1.0,Jeffrey,Manhattan,Harlem,40.81245,-73.95131,United States,US,True,flexible,Private room,2003.0,82.0,16.0,1.0,69.0,7/5/2019,3.73,5.0,1.0,277.0,"- I work at home and prefer to rent to folks who are visiting Boston for business and professional reasons.  Most of my guests are here to work in the Longwood Medical Area.  I often rent to fourth-year medical students doing rotations at HMS, and to physicians and post-docs affiliated with other institutions in the LMA. - I have a dog and two cats, so please take care and don't leave the front door standing open. -Please, no guests.  There are lots of pubs in the neighborhood if you want to meet friends.",,2019-07-05
29230,17145065,Private Room for 1 person in LES/Chinatown,85422689283,0.0,Scotty,Manhattan,Chinatown,40.71626,-73.99224,United States,US,True,flexible,Private room,2022.0,516.0,103.0,1.0,7.0,7/7/2019,0.39,4.0,1.0,54.0,"Professional building, please be considerate of other residents in the building. This is not a place for parties.",,2019-07-07
29252,17157216,Room for rent in the heart of Manhattan,98368731232,0.0,Ava,Manhattan,Upper East Side,40.77509,-73.95554,United States,US,True,flexible,Private room,2009.0,296.0,59.0,1.0,58.0,6/23/2019,3.64,4.0,1.0,45.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",,2019-06-23
29343,17207475,Manhattan Palace Presidential Suite,83791853303,0.0,Joseph,Manhattan,Upper West Side,40.80115,-73.96524,United States,US,True,flexible,Private room,2010.0,758.0,152.0,1.0,0.0,,,4.0,1.0,0.0,,,
29492,17289768,Stylish Bedroom In Washington Heights Manhattan.,65569506988,1.0,Ken,Manhattan,Washington Heights,40.83558,-73.9404,United States,US,True,flexible,Private room,2013.0,748.0,150.0,2.0,23.0,6/30/2019,1.43,4.0,1.0,30.0,"Family friendly, no smoking please. Please bring trash outside, clean dishes before departure. Please be courteous to our neighbors no parties or pets are allowed.",,2019-06-30
29583,17340027,1 Large bedroom in Murray Hill,47891780918,1.0,Adil,Manhattan,Murray Hill,40.74476,-73.9755,United States,US,False,flexible,Private room,2005.0,140.0,28.0,15.0,0.0,,,5.0,1.0,0.0,"No smoking in apartment, foyer,  or outside building.  No parties. No pets. Quiet and respectful of our neighbors.  ",,
29630,17365985,Spacious private guest room in Uptown Manhattan,10717757949,1.0,Jeffer,Manhattan,Inwood,40.85925,-73.9297,United States,US,False,flexible,Private room,2022.0,458.0,92.0,3.0,33.0,6/5/2019,2.05,5.0,1.0,18.0,,,2019-06-05
29696,17402437,Nice & cozy room located in Manhattan apt!!,35355744641,1.0,Miryan,Manhattan,Harlem,40.82742,-73.94878,United States,US,False,flexible,Private room,2019.0,133.0,27.0,1.0,103.0,7/5/2019,5.94,5.0,1.0,19.0,"We require a signed lease as soon as we accept your request. No smoking, no pets, no parties. We strive to maintain a quiet, professional community. Two week minimum stay. Two occupants maximum per apartment. No Sunday checkins and no check in after 6:30 pm",,2019-07-05
30007,17574202,New York Bedroom for rent in East Harlem,40535590890,1.0,Arthur,Manhattan,East Harlem,40.79661,-73.93832,United States,US,True,flexible,Private room,2019.0,577.0,115.0,5.0,3.0,3/20/2018,0.18,5.0,1.0,0.0,"- No smoking, no pets - No parties and please be quiet after 11pm - Fireplace is functional, but for safety reasons please do not use it - If you use the elevator, please close the inner door after you, otherwise other people won't be able to use it - Take your shoes off when you enter the apartment, you can place them into the closet next to the entrance door",,2018-03-20
30017,17579725,Cozy Getaway in NYC,26165576731,1.0,Wanessa,Manhattan,Upper West Side,40.80022,-73.96301,United States,US,False,flexible,Private room,2013.0,426.0,85.0,2.0,0.0,,,4.0,1.0,0.0,,,
30079,17613968,Cathedral View,42128908043,1.0,Matt,Manhattan,Upper West Side,40.80115,-73.96282,United States,US,True,flexible,Private room,2014.0,756.0,151.0,1.0,1.0,2/11/2018,0.06,5.0,1.0,88.0,"-We simply ask you to feel like you are in your own home, and respect the condo and neighbors.   - A copy/scan of a photo ID or an AirBNB ID verification will be required to receive keys.  -No pets, no smoking and no party, no extra parties/guests in the Condo -that are not part of your reservation.   - Please note our check in time: 3:00 PM (or anytime later) and Check out time: 10:00 AM. If you absolutely must check-in during the morning, please message us first.  -Our condo is best for 2 people, but we can certainly accommodate a 3rd person without an extra-person fee!  Let us know first if you have 3 guests and we can bring a floor mattress.",,2018-02-11
30104,17627775,La Quinta Central Park West Hotel,89757128847,0.0,Vijay,Manhattan,Upper West Side,40.77722,-73.97834,United States,US,False,flexible,Private room,2011.0,481.0,96.0,1.0,0.0,,,5.0,4.0,269.0,,,
30219,17691290,"HARLEM HOME AWAY FROM HOME , SHORT - EXTENDED STAY",33604907303,1.0,Judith,Manhattan,Harlem,40.80497,-73.94952,United States,US,True,flexible,Private room,2003.0,336.0,67.0,1.0,7.0,5/12/2019,0.43,5.0,1.0,297.0,Be respectful and no smoking in room,,2019-05-12
30275,17722219,An Oasis in Manhattan,23755659790,0.0,Shopper,Manhattan,Washington Heights,40.84442,-73.94039,United States,US,False,flexible,Private room,2013.0,510.0,102.0,6.0,2.0,11/1/2018,0.22,4.0,3.0,90.0,,,2018-11-01
30294,17732712,Pretty room in the heart of the Lower East Side,21557961222,0.0,Kar Man And Ariel,Manhattan,Lower East Side,40.71925,-73.99301,United States,US,False,flexible,Private room,2013.0,677.0,135.0,5.0,24.0,7/4/2019,1.48,5.0,1.0,164.0,"As I can't keep up the cleaning duty 24/7, please clean after yourself as you enter.  Read carefully the instructions and the cancelation. I have works and I won't promise to be at the house 24/24,but I will try my best if you need help.  Living and kitchen are prohibited while these are my working place.  Must notify me if you're having guests.  If you need anything, I'm glad to help in my power. Just ask!",,2019-07-04
30302,17737131,Private room amazing location Chelsea/Union Square,36988626636,0.0,Javier,Manhattan,Chelsea,40.73974,-73.99563,United States,US,True,flexible,Private room,2011.0,446.0,89.0,3.0,0.0,,,4.0,1.0,0.0,"Please respect my home. There are other long term tenants who reside in the building. THERE WILL BE NO PARTIES ALLOWED AT THIS PROPERTY. If guests host a party, they will be asked to leave immediately upon the first report of a disturbance and the security deposit forfeited.",,
30357,17767507,COMFORT ZONE,15578244990,0.0,Erika,Manhattan,Harlem,40.81404,-73.93809,United States,US,True,flexible,Private room,2022.0,599.0,120.0,2.0,16.0,10/25/2018,1.0,4.0,1.0,363.0,,,2018-10-25
30467,17828260,Spacious room near CU Mailman campus,1829313019,1.0,Lujayn,Manhattan,Washington Heights,40.83767,-73.94171,United States,US,False,flexible,Private room,2018.0,236.0,47.0,5.0,0.0,,,4.0,1.0,0.0,,,
30493,17842620,Beautiful Private Room 5 min away from Mid-town,95094481628,0.0,Fiorella,Manhattan,Roosevelt Island,40.76032,-73.95164,United States,US,True,flexible,Private room,2011.0,132.0,26.0,3.0,1.0,3/17/2019,0.26,4.0,2.0,358.0,,,2019-03-17
30497,17844829,NEW-BRIGHT-SPACIOUS-LES-W/D-2BATH-BY TRAIN-ROOFTOP,54625829989,1.0,Orit,Manhattan,Lower East Side,40.71374,-73.98907,United States,US,True,flexible,Private room,2010.0,95.0,19.0,3.0,10.0,6/1/2019,0.62,5.0,3.0,361.0,- Quiet neighborhood so remember to be respectful!,,2019-06-01
30532,17864160,Female Only UWS Apartment,15182160967,1.0,Paris,Manhattan,Upper West Side,40.79902,-73.96692,United States,US,True,flexible,Private room,2004.0,548.0,110.0,1.0,1.0,4/17/2018,0.07,5.0,1.0,0.0,,,2018-04-17
30563,17881281,"1 private bedroom in Lower East Side, Manhattan",90904675621,0.0,Lawrence,Manhattan,Lower East Side,40.72142,-73.98411,United States,US,True,flexible,Private room,2008.0,215.0,43.0,10.0,2.0,5/5/2018,0.13,5.0,1.0,87.0,No Smoking No Pets,,2018-05-05
30762,17991189,"Snug & Cozy 1 Bedroom -Hamilton Heights, NY",96096275691,0.0,Allan C.,Manhattan,Harlem,40.82961,-73.9474,United States,US,False,flexible,Private room,2014.0,162.0,32.0,1.0,11.0,12/8/2018,0.92,5.0,6.0,0.0,"No guests over other than the ones in your booking. No smoking in apartment or rooftop lounge No partying No loud music that would disturb other residents. No pets. Must be clean and sanitary. If you cook, you must clean up and return all cooking utensils back in their proper place. If you wish to do laundry, bring your own detergent.",,2018-12-08
30802,18013281,Cozy bedroom in the heart of South Harlem,25161160406,1.0,Frederic,Manhattan,Harlem,40.80397,-73.95615,United States,US,True,flexible,Private room,2019.0,641.0,128.0,1.0,60.0,6/30/2019,3.85,4.0,2.0,195.0,"House Rules 1. All bookings made at least a week before check in are fully refundable if cancelled within 24 hours of booking. After this, you will receive a 50% refund if you cancel at least 7 days before the start of your trip. 2. Check-in time is any time after 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  3. All bookings require a security deposit of at least $300. 4. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in, we'll need a photo of your ID.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in most of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. I",,2019-06-30
30920,18078452,Lavish Private room w/ Private Bath in upper east,83384058983,0.0,Gio,Manhattan,Upper East Side,40.77519,-73.95153,United States,US,True,flexible,Private room,2022.0,450.0,90.0,1.0,67.0,5/27/2019,4.29,5.0,4.0,0.0,,,2019-05-27
